"Title","Year","Country"
"What are some Caribbean cruises for October?","2011","-1"
"How can I find a guide that will take me safely through the Amazon jungle?","2011","-1"
"Does Singapore Airlines offer any reward seats on their EWR-SIN route?","2011","Singapore"
"What is the easiest transportation to use throughout Romania for a foreigner?","2011","Romania"
"How can I visit Antarctica?","2011","Antarctica"
"Best way to get from SeaTac airport to Redmond?","2011","-1"
"What are must-visit destinations for the first time trip to Argentina?","2011","Argentina"
"When traveling to a country with a different currency, how should you take your money?","2011","-1"
"What is the best way to obtain visas for the Trans-Siberian/Trans-Mongolian Railway?","2011","Mongolia"
"Where can I find up-to-date information about roadblocks and strikes in Peru and Bolivia?","2011","Peru"
"Is it advisable for US citizen to attempt a visit to Cuba w/o going through an agency?","2011","Cuba"
"What are some of the sights to see in Budapest, Hungary?","2011","Hungary"
"Is there a good website to plan a trip via trains in Europe?","2011","-1"
"What are the best ways to avoid data roaming fees when travelling abroad?","2011","-1"
"What should I know about ""Around The World"" flights?","2011","-1"
"What are some good ways to find things to explore on-site in an unfamiliar place?","2011","-1"
"Cheapest mobile operator in Europe","2011","-1"
"Sightseeing the USA by air","2011","-1"
"Online resources/communities especially for travelling to remote islands","2011","-1"
"What kind of questions should I be asking about tropical destinations?","2011","-1"
"Where to find good cave-swimming?","2011","-1"
"Are there advantages to using private car service over taxis from the airport?","2011","-1"
"Are there caves and tunnels under Tallinn, Estonia?","2011","Estonia"
"Is it possible to get a permit to travel to Tibet (Lhasa) from Beijing by train, without a tour guide?","2011","-1"
"What is there to do in Orlando, Florida?","2011","-1"
"How bad is baggage theft at Johannesburg airport?","2011","-1"
"Is it safe to travel in Japan considering the nuclear situation?","2011","Japan"
"Flight deals from the UK","2011","-1"
"Tel Aviv a good base to see Israel & Palestine?","2011","Israel"
"Something to do in or around Colmar in France","2011","France"
"Best time to buy Airline tickets to Shanghai/Hong Kong from USA (Dallas/Fort Worth)?","2011","-1"
"""Lord of the Rings"" Tours in New Zealand","2011","New Zealand"
"How do I choose a travel agency to book tours from in Hanoi, Vietnam?","2011","Vietnam"
"How to insure checked luggage?","2011","-1"
"Suitable ways to get around the Darién Gap?","2011","-1"
"Can I upgrade only a portion of my ticket with miles on Singapore Air (SQ)?","2011","Singapore"
"How should I deal with beggars in India?","2011","India"
"What is a good hydration system for hiking Kilimanjaro?","2011","-1"
"How can I travel between US towns without flying?","2011","-1"
"What is the best method for exchanging dollars for Euros?","2011","-1"
"Freight travel in the Caribbean - Can it be done? Is it cost-effective?","2011","-1"
"How much Russian do I need to know for travelling within Russia?","2011","Russia"
"Can somebody recommended a tour for the Amazon in Ecuador?","2011","Ecuador"
"What times of the year are best for visiting France?","2011","France"
"How do I know if it's safe to travel to a country at a specific time?","2011","-1"
